"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-12-18,580361,318,8543,8362,0,41
"2",2020-12-17,580043,2953,10261,8362,2,50
"3",2020-12-16,577090,9591,11545,8360,27,59
"4",2020-12-15,567499,15945,11787,8333,55,61
"5",2020-12-14,551554,15329,11186,8278,69,61
"6",2020-12-13,536225,5097,10660,8209,77,61
"7",2020-12-12,531128,10566,10629,8132,57,57
"8",2020-12-11,520562,12345,10290,8075,61,57
"9",2020-12-10,508217,11940,9950,8014,64,55
"10",2020-12-09,496277,11290,9654,7950,46,55
"11",2020-12-08,484987,11737,9472,7904,50,54
"12",2020-12-07,473250,11645,9359,7854,69,53
"13",2020-12-06,461605,4879,9245,7785,50,50
"14",2020-12-05,456726,8194,9056,7735,57,47
"15",2020-12-04,448532,9964,8735,7678,49,44
"16",2020-12-03,438568,9868,7966,7629,62,42
"17",2020-12-02,428700,10020,6815,7567,41,37
"18",2020-12-01,418680,10942,6293,7526,45,36
"19",2020-11-30,407738,10851,5556,7481,44,35
"20",2020-11-29,396887,3555,4770,7437,30,34
"21",2020-11-28,393332,5946,4605,7407,39,34
"22",2020-11-27,387386,4579,4246,7368,32,33
"23",2020-11-26,382807,1813,4305,7336,26,32
"24",2020-11-25,380994,6363,4694,7310,36,33
"25",2020-11-24,374631,5787,4517,7274,35,31
"26",2020-11-23,368844,5344,4424,7239,39,31
"27",2020-11-22,363500,2401,4347,7200,34,29
"28",2020-11-21,361099,3434,4272,7166,30,27
"29",2020-11-20,357665,4992,4161,7136,22,26
"30",2020-11-19,352673,4534,3934,7114,37,26
"31",2020-11-18,348139,5130,3750,7077,21,23
"32",2020-11-17,343009,5132,3486,7056,37,22
"33",2020-11-16,337877,4809,3204,7019,23,19
"34",2020-11-15,333068,1873,2978,6996,22,18
"35",2020-11-14,331195,2655,2871,6974,17,17
"36",2020-11-13,328540,3403,2769,6957,23,16
"37",2020-11-12,325137,3246,2628,6934,19,15
"38",2020-11-11,321891,3283,2527,6915,15,14
"39",2020-11-10,318608,3157,2413,6900,16,13
"40",2020-11-09,315451,3230,2243,6884,15,13
"41",2020-11-08,312221,1126,2056,6869,13,12
"42",2020-11-07,311095,1940,2009,6856,11,13
"43",2020-11-06,309155,2413,1894,6845,18,13
"44",2020-11-05,306742,2539,1741,6827,9,12
"45",2020-11-04,304203,2483,1564,6818,10,13
"46",2020-11-03,301720,1971,1383,6808,13,14
"47",2020-11-02,299749,1919,1288,6795,12,14
"48",2020-11-01,297830,797,1225,6783,18,14
"49",2020-10-31,297033,1136,1219,6765,13,14
"50",2020-10-30,295897,1345,1211,6752,9,14
"51",2020-10-29,294552,1299,1243,6743,17,16
"52",2020-10-28,293253,1212,1296,6726,13,15
"53",2020-10-27,292041,1310,1365,6713,17,15
"54",2020-10-26,290731,1475,1414,6696,13,15
"55",2020-10-25,289256,755,1465,6683,16,15
"56",2020-10-24,288501,1081,1449,6667,14,14
"57",2020-10-23,287420,1570,1442,6653,19,14
"58",2020-10-22,285850,1671,1410,6634,15,14
"59",2020-10-21,284179,1696,1368,6619,14,14
"60",2020-10-20,282483,1651,1317,6605,14,14
"61",2020-10-19,280832,1830,1256,6591,16,15
"62",2020-10-18,279002,643,1213,6575,9,15
